test_id;test_name;test_objective;test_start_date;test_end_date;lead_id;user_id;campaign_id;utm_source;utm_medium;test_group;assigned_at
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_a512127651c1;user_138471;yandex_direct_psycho_jan2023;yandex;direct;A;2023-02-18 21:48:10
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_cc71f719d844;user_251405;partners_cpa_psycho_may2023;partners;cpa;B;2023-05-14 04:03:46
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_62ee0825def3;user_103530;yandex_cpc_psycho_jan2023;yandex;cpc;B;2023-01-16 01:23:37
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_2a9d0c2fbb63;user_170358;yandex_cpc_psycho_mar2023;yandex;cpc;B;2023-03-05 11:42:32
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_ef72a9469d06;user_128633;partners_cpa_psycho_jan2023;partners;cpa;A;2023-01-13 21:22:22
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_f2798f80155d;user_236503;vk_retargeting_psycho_may2023;vk;retargeting;A;2023-05-16 10:02:02
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_805843b7dd90;user_203870;vk_retargeting_psycho_apr2023;vk;retargeting;A;2023-04-06 23:17:47
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_6728942e0322;user_129480;partners_affiliate_psycho_jan2023;partners;affiliate;B;2023-01-17 15:24:54
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_cdbf0951eec8;user_214124;influence_telegram_psycho_apr2023;influence;telegram;B;2023-04-07 17:13:56
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_cea59da83387;user_121538;telegram_channel_psycho_jan2023;telegram;channel;B;2023-01-21 01:22:59
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_064cd0d2453c;user_147357;vk_retargeting_psycho_jan2023;vk;retargeting;A;2023-02-02 08:55:55
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_4a885f536608;user_106682;yandex_direct_psycho_jan2023;yandex;direct;B;2023-01-20 02:07:00
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_f1995ffceb9c;user_225049;yandex_cpc_psycho_may2023;yandex;cpc;B;2023-05-05 13:26:08
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_9d53631265ff;user_175484;vk_retargeting_psycho_mar2023;vk;retargeting;A;2023-03-14 14:02:29
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_d90d61e9449d;user_173361;vk_ads_psycho_mar2023;vk;ads;A;2023-03-23 23:10:40
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_0cfd3207b815;user_208509;telegram_ads_psycho_apr2023;telegram;ads;A;2023-04-15 10:39:45
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_8fa326c35b5b;user_195462;partners_affiliate_psycho_mar2023;partners;affiliate;A;2023-03-12 10:14:47
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_f4eb17014e98;user_195148;partners_affiliate_psycho_mar2023;partners;affiliate;B;2023-03-11 18:09:10
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_d0a6953547ee;user_111344;vk_retargeting_psycho_jan2023;vk;retargeting;A;2023-01-27 01:42:55
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_eca9dd73b1ef;user_213311;influence_telegram_psycho_apr2023;influence;telegram;A;2023-04-08 01:57:09
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_93e5085892e2;user_218595;influence_instagram_psycho_apr2023;influence;instagram;B;2023-04-28 04:43:03
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_557fcc47bb42;user_252053;partners_affiliate_psycho_may2023;partners;affiliate;A;2023-05-23 08:37:56
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_af6f330680a9;user_166595;partners_cpa_psycho_jan2023;partners;cpa;A;2023-02-06 16:04:46
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_627792680423;user_234135;vk_ads_psycho_may2023;vk;ads;A;2023-05-09 22:17:51
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_b2c0a587c333;user_170356;yandex_cpc_psycho_mar2023;yandex;cpc;A;2023-03-09 09:19:52
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_a0521219ef7d;user_163018;influence_telegram_psycho_jan2023;influence;telegram;B;2023-02-04 13:45:41
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_a31eb5d2e5cb;user_181730;influence_telegram_psycho_mar2023;influence;telegram;A;2023-03-28 12:37:54
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_4dd520395b4c;user_191686;partners_cpa_psycho_mar2023;partners;cpa;B;2023-03-24 20:43:51
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_44cda46fa55a;user_211463;telegram_channel_psycho_apr2023;telegram;channel;B;2023-04-14 02:54:46
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_24d8062be535;user_139771;yandex_direct_psycho_jan2023;yandex;direct;A;2023-02-08 22:23:32
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_12f34591a972;user_217586;influence_instagram_psycho_apr2023;influence;instagram;B;2023-04-14 02:46:30
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_5dae6d7cdac7;user_249986;partners_cpa_psycho_may2023;partners;cpa;A;2023-05-03 06:47:07
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_a818b85b63d2;user_153278;telegram_channel_psycho_jan2023;telegram;channel;A;2023-02-08 08:02:13
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_a80ae8c55b4a;user_247505;partners_cpa_psycho_may2023;partners;cpa;B;2023-05-09 15:18:06
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_39c3eb82305a;user_231972;vk_ads_psycho_may2023;vk;ads;B;2023-05-05 02:27:05
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_00885f9aa851;user_111796;vk_retargeting_psycho_jan2023;vk;retargeting;B;2023-01-18 10:01:18
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_eff3ead8488a;user_235021;vk_ads_psycho_may2023;vk;ads;A;2023-05-28 00:31:49
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_d64783e46c1e;user_179425;telegram_channel_psycho_mar2023;telegram;channel;A;2023-03-11 13:58:59
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_528af1db4141;user_137404;yandex_direct_psycho_jan2023;yandex;direct;B;2023-02-22 08:56:27
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_ed5af24ba383;user_185300;influence_instagram_psycho_mar2023;influence;instagram;A;2023-03-20 20:51:40
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_1cf6a126c99e;user_176502;telegram_ads_psycho_mar2023;telegram;ads;A;2023-03-04 07:58:31
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_2d9acccd91ee;user_226664;yandex_cpc_psycho_may2023;yandex;cpc;A;2023-05-19 23:15:19
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_768d70b5174f;user_185416;influence_instagram_psycho_mar2023;influence;instagram;A;2023-03-13 15:52:16
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_3a5cce38e58f;user_105082;yandex_direct_psycho_jan2023;yandex;direct;B;2023-01-28 23:46:56
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_de3e2fc63da0;user_117442;telegram_ads_psycho_jan2023;telegram;ads;A;2023-01-04 22:49:31
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_4efe22511dd9;user_152093;telegram_channel_psycho_jan2023;telegram;channel;B;2023-02-14 22:25:41
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_a3bb2d50f1ed;user_232410;vk_ads_psycho_may2023;vk;ads;A;2023-05-03 10:01:32
2024_landing_test_v1;Landing Page Redesign Test;Increase lead-to-sale conversion;2023-01-01;2023-06-01;lead_90bb84836a02;user_173733;vk_ads_psycho_mar2023;vk;ads;B;2023-03-07 04:10:58
