sale_id;lead_id;user_id;campaign_id;product_name;amount;sale_date
sale_6f773d988eb8;lead_4a5ae7c4fa2e;user_100003;yandex_cpc_psycho_jan2023;Детско-родительские отношения;27853;2023-01-31 04:05:28
sale_e056a1b450db;lead_04f5ed7512a9;user_100018;yandex_cpc_psycho_jan2023;Детско-родительские отношения;41915;2023-02-08 22:00:26
sale_429d317d5e5f;lead_87477d10385b;user_100037;yandex_cpc_psycho_jan2023;Детско-родительские отношения;47798;2023-01-19 19:25:34
sale_06b7f1fb248d;lead_f16a35238346;user_100051;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;27042;2023-01-31 00:33:17
sale_4c7548d625f4;lead_1a8045a48c02;user_100063;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;35873;2023-01-27 16:58:17
sale_fc8174ca1fb3;lead_b45e110ba8f2;user_100085;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;21752;2023-01-19 00:53:00
sale_cd3e5b617a34;lead_628b6913599f;user_100091;yandex_cpc_psycho_jan2023;Детско-родительские отношения;48802;2023-02-04 11:55:44
sale_bb39bb45d219;lead_4527167ad64a;user_100094;yandex_cpc_psycho_jan2023;Детско-родительские отношения;30976;2023-02-01 08:59:34
sale_173f9a87bcc6;lead_85f23eeef46e;user_100130;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;22215;2023-01-27 00:22:52
sale_d66db93b82d1;lead_661ecd23b3cb;user_100134;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;42158;2023-01-25 03:56:53
sale_577a2bb66dbc;lead_0000f200bd80;user_100143;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;26965;2023-02-07 22:46:08
sale_5bb80f9e3369;lead_7473a2bb0ddf;user_100153;yandex_cpc_psycho_jan2023;Детско-родительские отношения;28422;2023-02-06 12:18:26
sale_82a1809e9a08;lead_e671371fba63;user_100195;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;29327;2023-01-29 21:31:29
sale_c8bc9394339b;lead_0c769e3b76f8;user_100232;yandex_cpc_psycho_jan2023;Профессиональное выгорание;22537;2023-01-22 09:41:54
sale_8c73b9f3f2b5;lead_dd8a5a62897a;user_100244;yandex_cpc_psycho_jan2023;Детско-родительские отношения;38054;2023-01-20 06:14:37
